date,location,new_cases,new_deaths,new_recover,total_cases,total_deaths,total_recover,active_cases,icu,ventilator_support
2020-01-01,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-02,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-03,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-04,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-05,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-06,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-07,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-08,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-09,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-10,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-11,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-12,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-13,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-14,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-15,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-16,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-17,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-18,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-19,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-20,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-21,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-22,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-23,Malaysia,0,0,0,0,0,0,0,0,0
2020-01-24,Malaysia,3,0,0,3,0,0,3,0,0
2020-01-25,Malaysia,1,0,0,4,0,0,4,0,0
2020-01-26,Malaysia,0,0,0,4,0,0,4,0,0
2020-01-27,Malaysia,0,0,0,4,0,0,4,0,0
2020-01-28,Malaysia,3,0,0,7,0,0,7,0,0
2020-01-29,Malaysia,0,0,0,7,0,0,7,0,0
2020-01-30,Malaysia,1,0,0,8,0,0,8,0,0
2020-01-31,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-01,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-02,Malaysia,0,0,0,8,0,0,8,0,0
2020-02-03,Malaysia,0,0,1,8,0,1,7,0,0
2020-02-04,Malaysia,2,0,0,10,0,1,9,0,0
2020-02-05,Malaysia,2,0,0,12,0,1,11,0,0
2020-02-06,Malaysia,2,0,0,14,0,1,13,0,0
2020-02-07,Malaysia,1,0,1,15,0,2,13,0,0
2020-02-08,Malaysia,1,0,1,16,0,3,13,0,0
2020-02-09,Malaysia,2,0,0,18,0,3,15,0,0
2020-02-10,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-11,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-12,Malaysia,0,0,0,18,0,3,15,0,0
2020-02-13,Malaysia,1,0,4,19,0,7,12,0,0
2020-02-14,Malaysia,2,0,0,21,0,7,14,0,0
2020-02-15,Malaysia,1,0,1,22,0,8,14,0,0
2020-02-16,Malaysia,0,0,1,22,0,9,13,0,0
2020-02-17,Malaysia,0,0,4,22,0,13,9,0,0
2020-02-18,Malaysia,0,0,4,22,0,17,5,0,0
2020-02-19,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-20,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-21,Malaysia,0,0,0,22,0,17,5,0,0
2020-02-22,Malaysia,0,0,1,22,0,18,4,0,0
2020-02-23,Malaysia,0,0,2,22,0,20,2,0,0
2020-02-24,Malaysia,0,0,0,22,0,20,2,0,0
2020-02-25,Malaysia,0,0,0,22,0,20,2,0,0
2020-02-26,Malaysia,0,0,2,22,0,22,0,0,0
2020-02-27,Malaysia,1,0,0,23,0,22,1,0,0
2020-02-28,Malaysia,2,0,0,25,0,22,3,0,0
2020-02-29,Malaysia,0,0,0,25,0,22,3,0,0
2020-03-01,Malaysia,4,0,0,29,0,22,7,0,0
2020-03-02,Malaysia,0,0,0,29,0,22,7,0,0
2020-03-03,Malaysia,7,0,0,36,0,22,14,0,0
2020-03-04,Malaysia,14,0,0,50,0,22,28,0,0
2020-03-05,Malaysia,0,0,0,50,0,22,28,0,0
2020-03-06,Malaysia,33,0,1,83,0,23,60,0,0
2020-03-07,Malaysia,10,0,0,93,0,23,70,0,0
2020-03-08,Malaysia,6,0,1,99,0,24,75,0,0
2020-03-09,Malaysia,18,0,0,117,0,24,93,0,0
2020-03-10,Malaysia,12,0,1,129,0,25,104,0,0
2020-03-11,Malaysia,20,0,1,149,0,26,123,2,2
2020-03-12,Malaysia,9,0,6,158,0,32,126,3,3
2020-03-13,Malaysia,39,0,1,197,0,33,164,4,4
2020-03-14,Malaysia,41,0,2,238,0,35,203,5,5
2020-03-15,Malaysia,190,0,7,428,0,42,386,9,9
2020-03-16,Malaysia,125,0,0,553,0,42,511,12,12
2020-03-17,Malaysia,120,2,7,673,2,49,622,12,12
2020-03-18,Malaysia,117,0,11,790,2,60,728,15,15
2020-03-19,Malaysia,110,0,15,900,2,75,823,20,20
2020-03-20,Malaysia,130,0,12,1030,2,87,941,26,26
2020-03-21,Malaysia,153,2,27,1183,4,114,1065,37,23
2020-03-22,Malaysia,123,6,25,1306,10,139,1157,46,22
2020-03-23,Malaysia,212,4,20,1518,14,159,1345,57,27
2020-03-24,Malaysia,106,1,24,1624,15,183,1426,64,27
2020-03-25,Malaysia,172,4,16,1796,19,199,1578,45,34
2020-03-26,Malaysia,235,4,16,2031,23,215,1793,45,32
2020-03-27,Malaysia,130,3,44,2161,26,259,1876,54,34
2020-03-28,Malaysia,159,1,61,2320,27,320,1973,73,54
2020-03-29,Malaysia,150,7,68,2470,34,388,2048,73,52
2020-03-30,Malaysia,156,3,91,2626,37,479,2110,94,62
2020-03-31,Malaysia,140,6,58,2766,43,537,2186,94,60
2020-04-01,Malaysia,142,2,108,2908,45,645,2218,102,66
2020-04-02,Malaysia,208,5,122,3116,50,767,2299,105,54
2020-04-03,Malaysia,217,3,60,3333,53,827,2453,108,54
2020-04-04,Malaysia,150,4,88,3483,57,915,2511,99,50
2020-04-05,Malaysia,179,4,90,3662,61,1005,2596,99,48
2020-04-06,Malaysia,131,1,236,3793,62,1241,2490,102,54
2020-04-07,Malaysia,170,1,80,3963,63,1321,2579,92,50
2020-04-08,Malaysia,156,2,166,4119,65,1487,2567,76,45
2020-04-09,Malaysia,109,2,121,4228,67,1608,2553,72,43
2020-04-10,Malaysia,118,3,222,4346,70,1830,2446,69,40
2020-04-11,Malaysia,184,3,165,4530,73,1995,2462,72,38
2020-04-12,Malaysia,153,3,113,4683,76,2108,2499,66,37
2020-04-13,Malaysia,134,1,168,4817,77,2276,2464,66,36
2020-04-14,Malaysia,170,5,202,4987,82,2478,2427,60,33
2020-04-15,Malaysia,85,1,169,5072,83,2647,2342,56,32
2020-04-16,Malaysia,110,1,119,5182,84,2766,2332,56,29
2020-04-17,Malaysia,69,2,201,5251,86,2967,2198,51,26
2020-04-18,Malaysia,54,2,135,5305,88,3102,2115,49,26
2020-04-19,Malaysia,84,1,95,5389,89,3197,2103,46,26
2020-04-20,Malaysia,36,0,98,5425,89,3295,2041,45,28
2020-04-21,Malaysia,57,3,54,5482,92,3349,2041,43,27
2020-04-22,Malaysia,50,1,103,5532,93,3452,1987,43,25
2020-04-23,Malaysia,71,2,90,5603,95,3542,1966,42,21
2020-04-24,Malaysia,88,1,121,5691,96,3663,1932,41,18
2020-04-25,Malaysia,51,2,99,5742,98,3762,1882,36,16
2020-04-26,Malaysia,38,0,100,5780,98,3862,1820,36,15
2020-04-27,Malaysia,40,1,95,5820,99,3957,1764,37,17
2020-04-28,Malaysia,31,1,75,5851,100,4032,1719,36,17
2020-04-29,Malaysia,94,0,55,5945,100,4087,1758,40,18
2020-04-30,Malaysia,57,2,84,6002,102,4171,1729,36,14
2020-05-01,Malaysia,69,1,39,6071,103,4210,1758,37,14
2020-05-02,Malaysia,105,0,116,6176,103,4326,1747,31,12
2020-05-03,Malaysia,122,2,87,6298,105,4413,1780,27,13
2020-05-04,Malaysia,55,0,71,6353,105,4484,1764,28,13
2020-05-05,Malaysia,30,1,83,6383,106,4567,1710,24,8
2020-05-06,Malaysia,45,1,135,6428,107,4702,1619,22,9
2020-05-07,Malaysia,39,0,74,6467,107,4776,1584,19,8
2020-05-08,Malaysia,68,0,88,6535,107,4864,1564,18,7
2020-05-09,Malaysia,54,1,65,6589,108,4929,1552,18,6
2020-05-10,Malaysia,67,0,96,6656,108,5025,1523,18,6
2020-05-11,Malaysia,70,1,88,6726,109,5113,1504,20,7
2020-05-12,Malaysia,16,0,110,6742,109,5223,1410,16,3
2020-05-13,Malaysia,37,2,58,6779,111,5281,1387,16,4
2020-05-14,Malaysia,40,1,70,6819,112,5351,1356,16,4
2020-05-15,Malaysia,36,0,88,6855,112,5439,1304,14,5
2020-05-16,Malaysia,17,1,73,6872,113,5512,1247,13,5
2020-05-17,Malaysia,22,0,59,6894,113,5571,1210,13,7
2020-05-18,Malaysia,47,0,44,6941,113,5615,1213,13,6
2020-05-19,Malaysia,37,1,31,6978,114,5646,1218,11,6
2020-05-20,Malaysia,31,0,60,7009,114,5706,1189,11,7
2020-05-21,Malaysia,50,0,90,7059,114,5796,1149,10,7
2020-05-22,Malaysia,78,1,63,7137,115,5859,1163,9,5
2020-05-23,Malaysia,48,0,53,7185,115,5912,1158,9,5
2020-05-24,Malaysia,60,0,33,7245,115,5945,1185,9,4
2020-05-25,Malaysia,172,0,34,7417,115,5979,1323,8,4
2020-05-26,Malaysia,187,0,62,7604,115,6041,1448,8,5
2020-05-27,Malaysia,15,0,42,7619,115,6083,1421,8,4
2020-05-28,Malaysia,10,0,86,7629,115,6169,1345,8,4
2020-05-29,Malaysia,103,0,66,7732,115,6235,1382,8,2
2020-05-30,Malaysia,30,0,95,7762,115,6330,1317,9,2
2020-05-31,Malaysia,57,0,23,7819,115,6353,1351,9,2
2020-06-01,Malaysia,38,0,51,7857,115,6404,1338,8,2
2020-06-02,Malaysia,20,0,66,7877,115,6470,1292,6,2
2020-06-03,Malaysia,93,0,61,7970,115,6531,1324,6,2
2020-06-04,Malaysia,277,0,28,8247,115,6559,1573,6,2
2020-06-05,Malaysia,19,1,51,8266,116,6610,1540,6,1
2020-06-06,Malaysia,37,1,25,8303,117,6635,1551,5,0
2020-06-07,Malaysia,19,0,39,8322,117,6674,1531,5,0
2020-06-08,Malaysia,7,0,20,8329,117,6694,1518,6,1
2020-06-09,Malaysia,7,0,281,8336,117,6975,1244,6,1
2020-06-10,Malaysia,2,1,39,8338,118,7014,1206,5,0
2020-06-11,Malaysia,31,0,51,8369,118,7065,1186,5,0
2020-06-12,Malaysia,33,1,103,8402,119,7168,1115,4,0
2020-06-13,Malaysia,43,1,143,8445,120,7311,1014,4,0
2020-06-14,Malaysia,8,1,35,8453,121,7346,986,4,0
2020-06-15,Malaysia,41,0,54,8494,121,7400,973,4,0
